file,psnr,ssim,method
000001.png,22.925380019815552,0.75434303,wiener
000001.png,29.133123280331468,0.94020176,unsharp_mask
000002.png,22.908910254398545,0.71000814,wiener
000002.png,27.270787786519218,0.8797787,unsharp_mask
000003.png,21.527319715457438,0.76827574,wiener
000003.png,29.68924086324913,0.9499626,unsharp_mask
000004.png,19.512289588015847,0.46632457,wiener
000004.png,27.445106857669078,0.9258315,unsharp_mask
000005.png,24.646066407067554,0.7324064,wiener
000005.png,30.227186643323787,0.91548616,unsharp_mask
000007.png,20.63035115131873,0.6994538,wiener
000007.png,27.421910937849834,0.9340715,unsharp_mask
000008.png,21.68714820999858,0.64605725,wiener
000008.png,24.76091921258184,0.78676224,unsharp_mask
000009.png,22.637937569736177,0.58652544,wiener
000009.png,24.016369730482175,0.6812534,unsharp_mask
000010.png,19.01563425497155,0.56787366,wiener
000010.png,20.921430965732757,0.6593239,unsharp_mask
000011.png,19.232476760225833,0.5749313,wiener
000011.png,21.373556835747852,0.67426723,unsharp_mask
000012.png,19.59353038791679,0.5879919,wiener
000012.png,22.72600677222611,0.74308604,unsharp_mask
000013.png,19.974725123409,0.61704654,wiener
000013.png,22.475674881620208,0.7200904,unsharp_mask
000014.png,20.8226798582634,0.6826841,wiener
000014.png,24.65953294790056,0.8214667,unsharp_mask
000016.png,24.221201104138373,0.6713257,wiener
000016.png,28.807735198123616,0.8772214,unsharp_mask
000017.png,23.807133591545515,0.6575754,wiener
000017.png,26.81201197909974,0.8200162,unsharp_mask
000018.png,22.62974087376484,0.54476565,wiener
000018.png,24.901753613652996,0.6811149,unsharp_mask
000020.png,25.796380067293562,0.77250695,wiener
000020.png,30.028721175593862,0.9259944,unsharp_mask
000021.png,20.563050471941715,0.6388547,wiener
000021.png,23.35032798360355,0.77014345,unsharp_mask
000022.png,19.65900690522185,0.60443455,wiener
000022.png,22.64922450004741,0.75087076,unsharp_mask
000023.png,19.67176157002206,0.55588627,wiener
000023.png,21.58945218379929,0.65615726,unsharp_mask
000024.png,19.27442352764988,0.48320508,wiener
000024.png,27.72679109807885,0.9341901,unsharp_mask
000025.png,19.289678238116743,0.4859313,wiener
000025.png,27.24575586839905,0.93046784,unsharp_mask
000026.png,25.294116784678135,0.709501,wiener
000026.png,30.849645439699316,0.9368238,unsharp_mask
000028.png,20.378089481258172,0.6626332,wiener
000028.png,24.312390685777217,0.8274625,unsharp_mask
000031.png,19.215827118392088,0.48244378,wiener
000031.png,27.12515244350469,0.92823046,unsharp_mask
000032.png,26.759405073393722,0.78960705,wiener
000032.png,31.015850423574086,0.948478,unsharp_mask
000033.png,22.282438823744613,0.49887726,wiener
000033.png,24.072585157500935,0.62396836,unsharp_mask
000034.png,26.806723522828833,0.7885957,wiener
000034.png,31.40018309903865,0.950989,unsharp_mask
000035.png,23.374913905460467,0.7776417,wiener
000035.png,28.656370966322662,0.9325021,unsharp_mask
000036.png,23.886270307148504,0.6292979,wiener
000036.png,27.258495964074964,0.8190035,unsharp_mask
000038.png,19.298888417111137,0.482679,wiener
000038.png,26.98915759320578,0.9279553,unsharp_mask
000039.png,21.80882528942358,0.6009629,wiener
000039.png,23.944930741149,0.7090737,unsharp_mask
000040.png,26.869316929519307,0.7959706,wiener
000040.png,30.502411249590384,0.9423354,unsharp_mask
000041.png,22.879493844691773,0.64965856,wiener
000041.png,25.644902353227643,0.77966124,unsharp_mask
000042.png,27.016858876843166,0.80214363,wiener
000042.png,29.39879775796203,0.93464327,unsharp_mask
000044.png,19.340274798176328,0.49759272,wiener
000044.png,26.63674226026565,0.9225316,unsharp_mask
000046.png,26.622883773191035,0.796585,wiener
000046.png,29.98109645674503,0.9420893,unsharp_mask
000047.png,22.8329287697589,0.6933656,wiener
000047.png,25.73743208258832,0.81812143,unsharp_mask
000048.png,23.52711995414871,0.7139063,wiener
000048.png,27.402430961726537,0.86258096,unsharp_mask
000050.png,26.64025470546257,0.7987709,wiener
000050.png,29.360305478883117,0.9353909,unsharp_mask
000051.png,21.990285890723968,0.6634907,wiener
000051.png,27.9845932597593,0.87638813,unsharp_mask
000054.png,22.728395559433157,0.63865346,wiener
000054.png,24.936038800177343,0.7499077,unsharp_mask
000055.png,19.308247562608546,0.48528203,wiener
000055.png,26.1667497939195,0.91562015,unsharp_mask
000056.png,19.412557498374795,0.4807349,wiener
000056.png,20.62603998856643,0.5385843,unsharp_mask
000059.png,19.34254740653299,0.48599133,wiener
000059.png,26.855937722931166,0.92541075,unsharp_mask
000060.png,22.27282218257995,0.57834023,wiener
000060.png,24.37858095835675,0.71909875,unsharp_mask
000061.png,19.355835622712483,0.49364635,wiener
000061.png,26.851471753454625,0.92643756,unsharp_mask
000062.png,19.32201174383725,0.493896,wiener
000062.png,27.045599933779535,0.92842454,unsharp_mask
000064.png,23.397839964550478,0.68415815,wiener
000064.png,26.72928406080161,0.8590043,unsharp_mask
000065.png,21.515206325229247,0.6264537,wiener
000065.png,25.07628425108146,0.8205742,unsharp_mask
000066.png,23.58678376906611,0.60202867,wiener
000066.png,26.958787215897328,0.80719376,unsharp_mask
000068.png,19.88756355887705,0.6112772,wiener
000068.png,22.995433081465908,0.75781006,unsharp_mask
000069.png,23.224711830993098,0.7018588,wiener
000069.png,30.361985425661523,0.94424814,unsharp_mask
000070.png,25.04679992906862,0.70504,wiener
000070.png,30.705762278252596,0.938132,unsharp_mask
000071.png,21.743058106671683,0.57843417,wiener
000071.png,24.6889680692195,0.7615967,unsharp_mask
000072.png,21.695408885081775,0.7408855,wiener
000072.png,27.93182996056587,0.92002374,unsharp_mask
000075.png,22.252554424989142,0.6590421,wiener
000075.png,27.806176396535808,0.9169918,unsharp_mask
000076.png,19.482779347256198,0.48798808,wiener
000076.png,26.901218483229748,0.9264853,unsharp_mask
000077.png,21.21277495180091,0.7028702,wiener
000077.png,26.66090014201324,0.8772753,unsharp_mask
000078.png,19.475033345121755,0.48785827,wiener
000078.png,28.095535399212803,0.9410587,unsharp_mask
000079.png,22.890520159727213,0.7076931,wiener
000079.png,27.297511922727168,0.86224383,unsharp_mask
000080.png,24.90115132347565,0.7498546,wiener
000080.png,30.79933481361722,0.9282627,unsharp_mask
000081.png,22.116008288781586,0.61457705,wiener
000081.png,24.189937330310958,0.72265404,unsharp_mask
000083.png,24.55864374102113,0.66774344,wiener
000083.png,30.416270730485508,0.9158716,unsharp_mask
000084.png,19.433870228127997,0.49706897,wiener
000084.png,26.035886228060683,0.9144707,unsharp_mask
000087.png,22.295383720015014,0.64634436,wiener
000087.png,25.51705057046275,0.779718,unsharp_mask
000088.png,19.3940677826747,0.4925113,wiener
000088.png,26.040080580688326,0.914711,unsharp_mask
000090.png,20.23194623366158,0.60085624,wiener
000090.png,23.674012606227002,0.74683195,unsharp_mask
000091.png,20.869906288474528,0.5669917,wiener
000091.png,22.630563381743308,0.6536705,unsharp_mask
000092.png,23.24840389665323,0.5950783,wiener
000092.png,26.941944660096524,0.8171039,unsharp_mask
000093.png,19.39753745468851,0.4911776,wiener
000093.png,26.25092799321001,0.91828585,unsharp_mask
000094.png,23.586356572932527,0.64399546,wiener
000094.png,26.90685285365317,0.7961264,unsharp_mask
000095.png,23.781853584896634,0.65151745,wiener
000095.png,28.24232539735163,0.8770073,unsharp_mask
000096.png,21.469663661017783,0.71749824,wiener
000096.png,27.697542888537953,0.91296357,unsharp_mask
000097.png,25.254504260673443,0.775867,wiener
000097.png,29.46313401908943,0.9313809,unsharp_mask
000098.png,23.707868424110817,0.67578846,wiener
000098.png,28.87038603150306,0.87362534,unsharp_mask
000099.png,25.4746314082295,0.786191,wiener
000099.png,29.9257857244039,0.9390154,unsharp_mask
000100.png,25.393156214273162,0.7821848,wiener
000100.png,29.94697830560837,0.9385071,unsharp_mask
000105.png,26.389217294070292,0.75500363,wiener
000105.png,31.743095221984802,0.92284393,unsharp_mask
000106.png,26.35387666196667,0.75119764,wiener
000106.png,29.838261304252853,0.8864468,unsharp_mask
000116.png,25.50122436005685,0.70142156,wiener
000116.png,28.545937785356873,0.8282775,unsharp_mask
000117.png,25.461389542204216,0.686328,wiener
000117.png,28.97581926897873,0.8236286,unsharp_mask
000122.png,25.670448685215806,0.6667984,wiener
000122.png,28.8920204067836,0.78715533,unsharp_mask
000124.png,26.574801308391134,0.7566888,wiener
000124.png,32.899232361776114,0.9333603,unsharp_mask
000127.png,26.31499832541918,0.7547533,wiener
000127.png,31.520242439637556,0.9228649,unsharp_mask
000128.png,25.76253758223219,0.7071578,wiener
000128.png,30.425918751859427,0.8780071,unsharp_mask
000129.png,24.267840186954423,0.54457396,wiener
000129.png,25.88460101551608,0.61097515,unsharp_mask
000131.png,25.630749996155284,0.7063706,wiener
000131.png,29.242569803506456,0.84193367,unsharp_mask
000139.png,25.367416837329436,0.7086363,wiener
000139.png,29.613902416135556,0.87181836,unsharp_mask
000143.png,25.11338188023816,0.67737454,wiener
000143.png,28.013762967675596,0.80725193,unsharp_mask
000145.png,25.88750250527719,0.73775846,wiener
000145.png,30.743411771056522,0.8994751,unsharp_mask
000146.png,26.369812806455023,0.77348167,wiener
000146.png,32.26964296809322,0.9403617,unsharp_mask
000149.png,24.65125864597632,0.63740677,wiener
000149.png,27.39154062904212,0.76410246,unsharp_mask
000152.png,25.543606879510712,0.7215465,wiener
000152.png,30.706222561524772,0.89131564,unsharp_mask
000157.png,25.50484183535265,0.7199407,wiener
000157.png,30.163864755459908,0.8809366,unsharp_mask
000162.png,25.250571147766628,0.7143991,wiener
000162.png,29.444042516120376,0.8733414,unsharp_mask
000165.png,25.71002854307075,0.7470097,wiener
000165.png,31.2326665566291,0.9194259,unsharp_mask
000176.png,24.953345947031067,0.7173659,wiener
000176.png,29.54114543130902,0.8830547,unsharp_mask
000180.png,25.094314357806393,0.7341079,wiener
000180.png,30.688873222852173,0.9154687,unsharp_mask
000183.png,24.789030212092488,0.7186963,wiener
000183.png,28.88660213476118,0.87837166,unsharp_mask
000184.png,24.910783941923714,0.7270549,wiener
000184.png,29.000158643528536,0.8839416,unsharp_mask
000186.png,24.60095721246439,0.71127325,wiener
000186.png,28.68217105454658,0.8771427,unsharp_mask
000188.png,23.576648339643505,0.6442042,wiener
000188.png,26.558646693604736,0.8057256,unsharp_mask
000191.png,24.21941597204892,0.7014182,wiener
000191.png,28.00810948015463,0.8648146,unsharp_mask
000194.png,23.611257923963528,0.6715053,wiener
000194.png,26.65080650906902,0.82639474,unsharp_mask
000195.png,23.75028337750591,0.68716675,wiener
000195.png,26.812132605044688,0.8393553,unsharp_mask
000196.png,23.665900666860324,0.6874097,wiener
000196.png,26.683386033758435,0.8410457,unsharp_mask
000204.png,24.282277728541175,0.70709425,wiener
000204.png,27.233532774443443,0.84467536,unsharp_mask
000205.png,23.96961876658243,0.6944515,wiener
000205.png,26.29054338394966,0.82397676,unsharp_mask
000207.png,23.72742079573071,0.68480736,wiener
000207.png,25.84872067720735,0.8236168,unsharp_mask
000208.png,23.69235721337436,0.6883004,wiener
000208.png,25.800857709000965,0.82492477,unsharp_mask
000209.png,23.742166410080703,0.6955111,wiener
000209.png,25.89693259838562,0.8314197,unsharp_mask
000215.png,23.75499804306426,0.66286546,wiener
000215.png,26.043956459691362,0.8107695,unsharp_mask
000216.png,19.63845785792897,0.5911668,wiener
000216.png,20.91065957643028,0.62378657,unsharp_mask
000218.png,24.549455027617157,0.71870685,wiener
000218.png,27.709948795750485,0.88143855,unsharp_mask
000219.png,21.626924537198533,0.70581937,wiener
000219.png,23.77972852356074,0.7572644,unsharp_mask
000221.png,24.111351745633073,0.68712777,wiener
000221.png,26.656412832924982,0.8404395,unsharp_mask
000223.png,24.29718531384049,0.7026959,wiener
000223.png,27.443747567444635,0.8722897,unsharp_mask
000225.png,24.233673297939852,0.86663055,wiener
000225.png,30.58521800222968,0.95368236,unsharp_mask
000227.png,23.53465079780221,0.6801205,wiener
000227.png,25.99530471241441,0.8317545,unsharp_mask
000229.png,21.709700571349224,0.7434748,wiener
000229.png,24.41106396519416,0.8107261,unsharp_mask
000231.png,24.1244238462839,0.6980061,wiener
000231.png,27.34877308174432,0.8636074,unsharp_mask
000232.png,24.157995828237965,0.85645396,wiener
000232.png,30.362463069893884,0.94458,unsharp_mask
000233.png,22.90309189682466,0.55687225,wiener
000233.png,24.309905975756692,0.6503039,unsharp_mask
000238.png,24.566911957157306,0.8698683,wiener
000238.png,32.077886338884525,0.9618239,unsharp_mask
000248.png,24.67406945702283,0.86482096,wiener
000248.png,31.903729444348183,0.9498067,unsharp_mask
000257.png,25.482312448105983,0.8880153,wiener
000257.png,32.85789161263245,0.9687021,unsharp_mask
000259.png,23.593001404496363,0.80557483,wiener
000259.png,27.386668404020597,0.8852729,unsharp_mask
000260.png,24.708885183523293,0.85807806,wiener
000260.png,31.218908102988905,0.94852734,unsharp_mask
000263.png,24.881665538237154,0.8732107,wiener
000263.png,32.33650777868284,0.9643471,unsharp_mask
000273.png,24.013763655618405,0.8361023,wiener
000273.png,29.273676582020155,0.9264377,unsharp_mask
000274.png,24.65136976359048,0.8638343,wiener
000274.png,29.386055526150567,0.9317246,unsharp_mask
000275.png,23.44436090304228,0.80668765,wiener
000275.png,27.524780141993922,0.8959817,unsharp_mask
000278.png,23.42184465035139,0.80963737,wiener
000278.png,26.985390767272264,0.87674505,unsharp_mask
000280.png,25.085535815086175,0.87600476,wiener
000280.png,33.02148564785787,0.96338344,unsharp_mask
000281.png,25.051927509801068,0.8746262,wiener
000281.png,33.8338190484302,0.96843034,unsharp_mask
000287.png,22.7203338085252,0.77782804,wiener
000287.png,25.999741911629258,0.8378816,unsharp_mask
000292.png,24.823910030657647,0.8903272,wiener
000292.png,31.9393335665743,0.9559486,unsharp_mask
000298.png,23.666793073775207,0.8224557,wiener
000298.png,27.845268300261257,0.87114173,unsharp_mask
000300.png,21.961677402074763,0.74450874,wiener
000300.png,24.43129433580422,0.79189724,unsharp_mask
003020.png,22.3690258572026,0.67772216,wiener
003020.png,26.233253560215125,0.8121597,unsharp_mask
003026.png,22.880466216278776,0.70937324,wiener
003026.png,26.918681241429034,0.8450628,unsharp_mask
003027.png,22.935508262295883,0.7098775,wiener
003027.png,26.84643003783847,0.8448555,unsharp_mask
003034.png,24.099165237985872,0.7562956,wiener
003034.png,27.816410410030237,0.8652384,unsharp_mask
003036.png,22.502056486948234,0.6168085,wiener
003036.png,23.694467996480345,0.6564037,unsharp_mask
003039.png,25.721320818838542,0.81293327,wiener
003039.png,30.004205530598384,0.9235199,unsharp_mask
003043.png,25.92118282175963,0.8057092,wiener
003043.png,30.569439996092452,0.91953754,unsharp_mask
003045.png,25.889103974050848,0.80418545,wiener
003045.png,30.732472744390794,0.9209242,unsharp_mask
003047.png,26.474089637235444,0.818439,wiener
003047.png,31.12945076597804,0.9224561,unsharp_mask
003049.png,26.304855202567023,0.8166587,wiener
003049.png,31.975928386215557,0.9357131,unsharp_mask
003055.png,25.814910160654843,0.7954795,wiener
003055.png,30.300589797527664,0.9236719,unsharp_mask
003058.png,25.956428145426173,0.7966886,wiener
003058.png,29.883039570782223,0.9192321,unsharp_mask
003060.png,25.86725518246133,0.7856391,wiener
003060.png,29.912784690938132,0.9187522,unsharp_mask
003066.png,27.297194707708286,0.79887336,wiener
003066.png,32.274809042545016,0.92820936,unsharp_mask
003072.png,26.680510391800322,0.79150057,wiener
003072.png,30.554337772996835,0.9133269,unsharp_mask
003073.png,26.415945244642806,0.78913456,wiener
003073.png,30.440092548823515,0.9136686,unsharp_mask
003083.png,24.471712062870516,0.7429538,wiener
003083.png,27.460072341794543,0.8609624,unsharp_mask
003085.png,24.96218692063918,0.7677321,wiener
003085.png,28.432905472431745,0.8892662,unsharp_mask
003088.png,24.775481468234197,0.7623034,wiener
003088.png,27.19402964960259,0.86053896,unsharp_mask
003092.png,24.7405613908524,0.7592845,wiener
003092.png,27.535068358076956,0.86140364,unsharp_mask
003097.png,23.889035295723986,0.75780076,wiener
003097.png,26.497020213012195,0.8496415,unsharp_mask
003102.png,22.8475619785937,0.6900839,wiener
003102.png,24.924170068690948,0.76681566,unsharp_mask
003103.png,22.88281073025808,0.69787496,wiener
003103.png,25.169094306659193,0.780346,unsharp_mask
003106.png,23.455733138830194,0.7513962,wiener
003106.png,26.406630505499432,0.8410967,unsharp_mask
003110.png,23.711590098580416,0.77997637,wiener
003110.png,27.817466606832898,0.88785887,unsharp_mask
004001.png,22.369409323473086,0.74975437,wiener
004001.png,25.602254579094378,0.85979587,unsharp_mask
004007.png,23.26633616957597,0.80665535,wiener
004007.png,27.78910292941893,0.9252731,unsharp_mask
004008.png,23.84697260084718,0.8258767,wiener
004008.png,28.902316031636666,0.9406342,unsharp_mask
004021.png,23.920627461167882,0.80973035,wiener
004021.png,29.770667806792055,0.9445262,unsharp_mask
004026.png,23.7207458344592,0.8090742,wiener
004026.png,29.79096634744267,0.94585466,unsharp_mask
004027.png,23.526062849797626,0.80602187,wiener
004027.png,29.653079822531033,0.94149035,unsharp_mask
004037.png,22.897864320335756,0.8030949,wiener
004037.png,28.540044077690354,0.9337842,unsharp_mask
004038.png,23.206677822255006,0.81950617,wiener
004038.png,28.048620661622117,0.9317212,unsharp_mask
004043.png,23.2790008146587,0.808659,wiener
004043.png,28.110259775173784,0.92928743,unsharp_mask
004044.png,23.373614101171935,0.8082516,wiener
004044.png,28.929324340053757,0.932645,unsharp_mask
004051.png,23.25014936001059,0.82315016,wiener
004051.png,29.367622974667192,0.94752496,unsharp_mask
004055.png,23.247426625968473,0.8195289,wiener
004055.png,29.505259574943846,0.9507301,unsharp_mask
004056.png,23.483355858341667,0.8298764,wiener
004056.png,28.95581537092906,0.9448244,unsharp_mask
004058.png,23.658387668711516,0.8388788,wiener
004058.png,29.02271344357282,0.94708115,unsharp_mask
004066.png,23.163126981301517,0.8102611,wiener
004066.png,30.231211193881542,0.9539111,unsharp_mask
004068.png,23.391757896921863,0.82593346,wiener
004068.png,28.760893256442387,0.93979377,unsharp_mask
004069.png,23.58959426218483,0.8323124,wiener
004069.png,28.54580403086882,0.94094014,unsharp_mask
004071.png,23.07130377318831,0.8059003,wiener
004071.png,29.949779127290505,0.95180124,unsharp_mask
004075.png,23.08218486081859,0.7979916,wiener
004075.png,29.42319802978872,0.9448407,unsharp_mask
004076.png,23.185082495980076,0.80221176,wiener
004076.png,28.575060598565894,0.93908644,unsharp_mask
004077.png,23.118166341064587,0.80474,wiener
004077.png,28.428816513006225,0.9385547,unsharp_mask
004090.png,22.463642592878035,0.7525773,wiener
004090.png,27.38664017639597,0.906945,unsharp_mask
004091.png,22.777521316994576,0.7658171,wiener
004091.png,27.226253027089736,0.91288066,unsharp_mask
004092.png,23.022521929395072,0.7856466,wiener
004092.png,27.42450746827012,0.9251241,unsharp_mask
004096.png,22.59980960291424,0.7599831,wiener
004096.png,27.15753999499158,0.91561085,unsharp_mask
